refcode	metal	total_charge	multiplicity	elem_nr	m_ox	d_elec	hapticity	CN	geometry	geom_nr	rel_m	splitting
AACANI11	Ni	0	3	28	2	8	False	5	Square pyramidal	14	1.046	-11.63
ABAJIX	Co	2	2	27	2	7	False	5	Square pyramidal	14	1.038	15.57
ABATED	Co	0	3	27	1	8	True	3	Trigonal planar	3	1.156	-17.54
ABATUT	Co	0	1	27	3	6	False	3	Trigonal planar	3	0.848	25.81
ABEDAN	Ni	2	3	28	2	8	False	6	Octahedral	18	1.085	-31.41
ABOTNI	Ni	0	3	28	2	8	False	6	Octahedral	18	1.106	-17.81
ACEGOH	Cr	0	4	24	3	3	False	5	Square pyramidal	14	1.04	-41.92
ACEYOW	Fe	2	5	26	2	6	False	6	Octahedral	18	1.094	-16.04
ACNCOB20	Co	1	1	27	1	8	True	5	Trigonal bipyramidal	13	0.963	38.62
ACODUR	Fe	0	1	26	2	6	True	4	Tetrahedral	8	0.956	106.08
ADEQUY	Co	0	4	27	2	7	False	4	Tetrahedral	8	0.996	-13.2
ADERAF	Co	0	4	27	2	7	False	4	Tetrahedral	8	0.998	-17.75
ADIGEB	Fe	0	6	26	3	5	False	4	Tetrahedral	8	0.963	-45.98
AENNIN	Ni	2	3	28	2	8	False	6	Octahedral	18	1.132	-37.94
AETSFE	Fe	1	2	26	3	5	False	6	Octahedral	18	0.951	49.29
AFAVIO	Ni	0	3	28	2	8	False	6	Octahedral	18	1.121	-42.1
AFOMEQ	Cr	0	4	24	3	3	False	6	Octahedral	18	0.961	-35.94
AFOSUM	Cr	0	5	24	2	4	False	4	Square planar	7	0.986	-64.17
AFUDAH	Ni	0	1	28	2	8	False	4	Square planar	7	0.973	16.19
AGAMIH	Ni	1	3	28	2	8	False	6	Octahedral	18	1.113	-41.88
AGAVAI	Co	0	2	27	2	7	False	4	Square planar	7	0.898	45.76
AGEZIW	Co	1	1	27	3	6	True	4	Tetrahedral	8	1.036	55.97
AGIDEC	Co	-2	4	27	2	7	False	4	Seesaw	9	1.027	-28.72
AGLCMN	Mn	0	6	25	2	5	False	6	Octahedral	18	1.086	-47.11
AGODAC	Co	0	1	27	3	6	False	6	Octahedral	18	0.973	93.29
AGOZUR	Ni	0	3	28	2	8	False	6	Octahedral	18	1.119	-50.34
AGUBAF	Mn	0	6	25	2	5	False	6	Octahedral	18	1.085	-46.05
AGUDUE	Co	1	2	27	2	7	False	4	Square planar	7	0.924	26.38
AGXICO	Co	0	2	27	2	7	False	4	Square planar	7	0.935	50.84
AHABER	Ni	0	3	28	2	8	False	4	Tetrahedral	8	1.004	-27.85
AHABIV	Ni	0	3	28	2	8	False	4	Tetrahedral	8	1.032	-32.54
AHEZAO	Cr	0	4	24	3	3	False	6	Octahedral	18	0.952	-36.09
AHIGOO	Ni	0	1	28	2	8	False	5	Trigonal bipyramidal	13	0.947	45.82
AHUCUE	Ni	0	3	28	2	8	False	4	Tetrahedral	8	1.013	-15.77
AHUGOA	Fe	0	5	26	2	6	False	4	Seesaw	9	0.988	-39.1
AJAFEX	Ni	0	1	28	2	8	False	4	Square planar	7	0.923	55.06
AJALAZ	Co	0	2	27	2	7	False	4	Square planar	7	0.925	24.93
AJALED	Fe	0	5	26	2	6	False	4	Tetrahedral	8	0.984	-44.46
AJALIH	Fe	0	5	26	2	6	False	4	Tetrahedral	8	0.965	-40.85
AJICUT	Mn	0	6	25	2	5	False	5	Square pyramidal	14	1.044	-60.54
AJIMOV	Fe	0	1	26	2	6	False	6	Octahedral	18	0.903	106.56
AJUKIA	Fe	0	1	26	2	6	True	2	Linear	0	1.033	66.84
AKASIQ	Cr	0	5	24	2	4	False	3	Trigonal planar	3	0.897	-55.23
ALALAA	Fe	0	2	26	3	5	False	5	Square pyramidal	14	0.962	34.29
ALEQEO	Fe	0	1	26	2	6	False	6	Octahedral	18	0.916	76.99
ALILOX	Fe	0	1	26	2	6	False	6	Octahedral	18	0.945	45.28
ALIYOJ	Mn	0	5	25	3	4	False	6	Octahedral	18	0.988	-57.71
ALLPMN	Mn	0	1	25	1	6	True	5	Trigonal bipyramidal	13	0.9	144.18
ALOTOL	Ni	0	1	28	2	8	False	4	Square planar	7	0.924	60.44
ALOTUR	Ni	0	1	28	2	8	False	4	Square planar	7	0.94	59.83
AMATEQ	Mn	-2	6	25	2	5	False	6	Octahedral	18	1.088	-43.75
APOHUK	Co	-2	4	27	2	7	False	4	Tetrahedral	8	0.998	-19.51
APRCOB	Co	1	1	27	3	6	False	6	Octahedral	18	0.985	57.18
APUDUM	Fe	0	5	26	2	6	False	4	Tetrahedral	8	0.989	-28.08
