refcode	metal	charge_cell2mol	charge_BVS	dictionary	unique_indices
AAZDCO	Co	3	7777	{1: 9999, 2: 0.213675, 3: 0.176725, 4: 9999}	3
ABAHUH	Co	2	8888	{1: 9999, 2: 9999, 3: 1.097599, 4: 9999}	2
ABAJIX	Co	2	8888	{1: 9999, 2: 9999, 3: 0.880289, 4: 9999}	4
ABARON	Co	2	8888	{1: 9999, 2: 9999, 3: 1.08056, 4: 9999}	2
ABASEE	Co	9999	7777	{1: 9999, 2: 0.323197, 3: 0.037044, 4: 9999}	2
ABATED	Co	1	8888	{1: 9999, 2: 9999, 3: 0.989742, 4: 9999}	2
ABATUT	Co	3	2	{1: 9999, 2: 0.055834, 3: 0.520451, 4: 9999}	2
ABEBOA	Co	2	9999	{1: 9999, 2: 9999, 3: 9999, 4: 9999}	2
ABECAN	Co	2	2	{1: 9999, 2: 0.002627, 3: 0.857351, 4: 9999}	2
ABECER	Co	2	9999	{1: 9999, 2: 9999, 3: 9999, 4: 9999}	2
ABECOB	Co	2	9999	{1: 9999, 2: 9999, 3: 9999, 4: 9999}	2
ABECUH	Co	2	2	{1: 9999, 2: 0.035238, 3: 1.007786, 4: 9999}	2
ABEDAO	Co	2	2	{1: 9999, 2: 3.4e-05, 3: 0.923479, 4: 1.806894}	2
ABIYOA	Co	9999	2	{1: 9999, 2: 0.000428, 3: 0.900975, 4: 9999}	4
ABIYUG	Co	2	2	{1: 9999, 2: 0.000494, 3: 0.930925, 4: 9999}	2
ABIZER	Co	2	2	{1: 9999, 2: 3e-06, 3: 1.03915, 4: 9999}	2
ABIZUH	Co	2	2	{1: 9999, 2: 0.000414, 3: 1.078922, 4: 9999}	2
ABOBAW	Co	3	7777	{1: 9999, 2: 0.407395, 3: 0.07034, 4: 9999}	3
ABOBEZ	Co	2	2	{1: 9999, 2: 0.004417, 3: 0.961092, 4: 9999}	2
ABOQAJ	Co	3	3	{1: 9999, 2: 1.08482, 3: 0.014794, 4: 9999}	2
ABOSUH	Co	9999	7777	{1: 9999, 2: 0.252975, 3: 0.126603, 4: 9999}	4
ABUWEA	Co	2	2	{1: 9999, 2: 0.001821, 3: 0.793402, 4: 9999}	1
