refcode	metal	charge_cell2mol	charge_BVS	dictionary	unique_indices
ACAYOT	Cr	9999	3	{2: 1.362228, 3: 0.185311, 4: 9999, 5: 9999, 6: 9999}	2
ACEGOH	Cr	3	2	{2: 0.021766, 3: 1.172873, 4: 9999, 5: 9999, 6: 9999}	4
ACRTUR	Cr	3	7777	{2: 1.286757, 3: 0.097025, 4: 0.001089, 5: 1.244371, 6: 2.017449}	2
ACUDOR	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
ACUDUX	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
ACUFAF	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
ADOPEP	Cr	9999	8888	{2: 1.952758, 3: 0.744767, 4: 9999, 5: 9999, 6: 9999}	2
ADUXOO	Cr	3	3	{2: 1.031115, 3: 0.12838, 4: 9999, 5: 9999, 6: 9999}	3
AFOMEQ	Cr	3	8888	{2: 1.013384, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	3
AFOSUM	Cr	2	2	{2: 0.003806, 3: 1.180499, 4: 9999, 5: 9999, 6: 9999}	2
AGOFEI	Cr	3	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	3
AHEZAO	Cr	3	3	{2: 1.110789, 3: 0.010994, 4: 9999, 5: 9999, 6: 9999}	4
AJUKEW	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
AKAGAU	Cr	9999	3	{2: 1.350526, 3: 0.174224, 4: 9999, 5: 9999, 6: 9999}	2
AKASEM	Cr	9999	7777	{2: 1.617497, 3: 0.408672, 4: 0.156814, 5: 0.894039, 6: 1.64595}	3
AKASIQ	Cr	2	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
ALESOA	Cr	2	2	{2: 0.022321, 3: 1.162829, 4: 9999, 5: 9999, 6: 9999}	1
ALESUG	Cr	2	2	{2: 0.00169, 3: 1.106839, 4: 9999, 5: 9999, 6: 9999}	1
ALETAN	Cr	2	2	{2: 0.00206, 3: 1.10719, 4: 9999, 5: 9999, 6: 9999}	1
ALETER	Cr	2	2	{2: 0.002437, 3: 1.262119, 4: 9999, 5: 9999, 6: 9999}	1
ALUHIZ	Cr	9999	7777	{2: 1.56657, 3: 0.360685, 4: 0.103088, 5: 0.951207, 6: 1.706573}	2
ALUVEJ	Cr	2	8888	{2: 2.733472, 3: 1.527298, 4: 9999, 5: 9999, 6: 9999}	2
ALUVIN	Cr	2	8888	{2: 2.653389, 3: 1.450951, 4: 9999, 5: 9999, 6: 9999}	2
AQAMEL	Cr	9999	3	{2: 0.960205, 3: 0.195559, 4: 9999, 5: 9999, 6: 9999}	3
AQEMUF	Cr	9999	7777	{2: 1.202765, 3: 0.017882, 4: 0.024181, 5: 1.339106, 6: 2.117908}	1
AQOZEM	Cr	3	3	{2: 9999, 3: 0.266831, 4: 9999, 5: 9999, 6: 9999}	3
ARIRIC	Cr	3	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	3
ARIROI	Cr	3	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	3
AROWUZ	Cr	3	3	{2: 1.10174, 3: 0.002496, 4: 9999, 5: 9999, 6: 9999}	5
ATOLAW	Cr	9999	7777	{2: 1.102737, 3: 0.000475, 4: 0.148353, 5: 1.451953, 6: 2.237574}	3
AVUCUP	Cr	3	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	3
AVUDAW	Cr	3	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	3
AVUDIE	Cr	3	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	3
AXUXEW	Cr	2	2	{2: 0.493317, 3: 0.546789, 4: 0.883813, 5: 2.141115, 6: 2.968377}	2
AYIZIS	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
AYOHIG	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
BAPPOX	Cr	3	3	{2: 0.908357, 3: 0.234201, 4: 9999, 5: 9999, 6: 9999}	4
BAPWOF	Cr	3	7777	{2: 1.23615, 3: 0.049339, 4: 0.000936, 5: 1.30147, 6: 2.077998}	2
BAVGAG	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	1
BAVGEK	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	1
BAVGIO	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	1
BAVGUA10	Cr	3	3	{2: 0.968634, 3: 0.167885, 4: 9999, 5: 9999, 6: 9999}	3
BEBLEZ	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
BECRIK	Cr	3	3	{2: 1.19022, 3: 0.010914, 4: 9999, 5: 9999, 6: 9999}	3
BEKGAB	Cr	3	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
BEKGEF	Cr	3	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
BEKGOP	Cr	3	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	3
BEQTEW	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
BEQTIA	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
BEQTUM	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
BEQYOM	Cr	3	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	3
BEZLOH	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
BGUCRM	Cr	3	3	{2: 1.334519, 3: 0.159059, 4: 9999, 5: 9999, 6: 9999}	2
BIBPEI	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	1
BILDAB	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
BILVUQ	Cr	3	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	1
BILWAX	Cr	3	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	1
BINHOV	Cr	3	3	{2: 1.158183, 3: 0.007997, 4: 9999, 5: 9999, 6: 9999}	3
