refcode	metal	charge_cell2mol	charge_BVS	dictionary	unique_indices
ABAFAN	Cu	1	7777	{1: 0.00199, 2: 0.015306, 3: 0.988304}	2
ABAFER	Cu	1	7777	{1: 0.001237, 2: 0.132774, 3: 1.10737}	2
ABAMUO	Cu	2	7777	{1: 0.284689, 2: 1.9e-05, 3: 0.482799}	3
ABETEH	Cu	1	7777	{1: 0.002921, 2: 0.001846, 3: 9999}	2
ABETIL	Cu	1	7777	{1: 0.019641, 2: 0.000227, 3: 9999}	2
ABEYAK	Cu	2	7777	{1: 0.385019, 2: 0.03297, 3: 0.489935}	1
ABEYIS	Cu	2	7777	{1: 0.282888, 2: 0.116941, 3: 0.675027}	1
ABOBAU	Cu	2	7777	{1: 0.161985, 2: 9.9e-05, 3: 0.649962}	2
ABOCUQ	Cu	2	7777	{1: 0.165034, 2: 1.7e-05, 3: 0.572112}	5
ABODUS	Cu	1	7777	{1: 0.002963, 2: 0.046776, 3: 9999}	2
ABOFAA	Cu	1	7777	{1: 0.080232, 2: 0.118792, 3: 9999}	2
ABOSIW	Cu	2	7777	{1: 0.097599, 2: 1.7e-05, 3: 0.634788}	3
ABOSUI	Cu	2	7777	{1: 0.013242, 2: 9.5e-05, 3: 0.793222}	2
ABOTET	Cu	2	7777	{1: 0.018295, 2: 0.000164, 3: 0.782217}	2
ABOTOD	Cu	2	7777	{1: 0.008441, 2: 0.000152, 3: 0.803679}	2
ABOVAR	Cu	2	7777	{1: 0.134849, 2: 1.3e-05, 3: 0.570845}	3
ABOVEV	Cu	2	7777	{1: 0.057259, 2: 0.000393, 3: 0.697356}	2
ABOWAS	Cu	2	7777	{1: 0.020538, 2: 0.001269, 3: 0.777332}	2
ABPYCU	Cu	9999	7777	{1: 0.132927, 2: 6e-06, 3: 0.532555}	3
ABUBAD	Cu	2	7777	{1: 0.064713, 2: 1e-06, 3: 0.706771}	3
ABUKIU	Cu	2	7777	{1: 0.222043, 2: 2.1e-05, 3: 0.448329}	3
ABUMUG	Cu	2	7777	{1: 0.149974, 2: 5.9e-05, 3: 0.627088}	3
ABUNET	Cu	2	7777	{1: 0.117889, 2: 3e-05, 3: 0.565307}	3
ABUVOI	Cu	2	7777	{1: 0.217476, 2: 2e-06, 3: 0.485672}	3
ABUWAW	Cu	2	7777	{1: 0.245451, 2: 0.000814, 3: 0.510118}	1
ABUWOK	Cu	2	7777	{1: 0.171297, 2: 3e-06, 3: 0.57151}	4
ABUYOL	Cu	2	7777	{1: 0.188579, 2: 3.5e-05, 3: 0.630418}	3
ABYPCU	Cu	2	7777	{1: 0.162108, 2: 2.8e-05, 3: 0.587744}	4
ACADAL	Cu	2	7777	{1: 0.177444, 2: 0.000128, 3: 0.658408}	4
ACADEP	Cu	2	7777	{1: 0.196432, 2: 1.2e-05, 3: 0.570554}	3
ACADOZ	Cu	2	7777	{1: 0.159165, 2: 8.8e-05, 3: 0.649145}	3
ACAJUM	Cu	2	7777	{1: 0.179644, 2: 2e-06, 3: 0.630389}	2
ACARAX	Cu	2	7777	{1: 0.244217, 2: 9.6e-05, 3: 0.487083}	2
ACEJAU	Cu	2	7777	{1: 0.207357, 2: 1.4e-05, 3: 0.562348}	2
ACENCU	Cu	2	7777	{1: 0.000697, 2: 1e-06, 3: 0.841342}	2
ACGLCU	Cu	2	7777	{1: 0.116968, 2: 0.001862, 3: 0.750246}	2
ACIFIC	Cu	2	7777	{1: 0.254498, 2: 6.4e-05, 3: 0.488659}	4
ACIGEA	Cu	2	7777	{1: 0.183198, 2: 0.005316, 3: 0.684984}	4
ACINAD	Cu	2	7777	{1: 0.254725, 2: 2e-06, 3: 0.447222}	3
ACINIL	Cu	2	7777	{1: 0.25617, 2: 0.003465, 3: 0.527341}	3
ACIQEK	Cu	1	7777	{1: 0.015414, 2: 0.166849, 3: 9999}	2
ACITIP	Cu	2	7777	{1: 0.277922, 2: 0.000424, 3: 0.421698}	4
ACMCUA	Cu	2	7777	{1: 0.110433, 2: 1.8e-05, 3: 9999}	2
ACMCUB	Cu	9999	7777	{1: 0.164634, 2: 6e-05, 3: 9999}	4
ACMRCU10	Cu	2	7777	{1: 0.03279, 2: 0.099746, 3: 0.918221}	3
ACOJEI	Cu	1	7777	{1: 0.012994, 2: 0.137692, 3: 9999}	3
ACOLAI	Cu	2	7777	{1: 0.188089, 2: 0.00041, 3: 0.598726}	3
ACOXNI10	Cu	9999	7777	{1: 0.146472, 2: 1.1e-05, 3: 0.503055}	2
ACTHCU	Cu	2	7777	{1: 0.252055, 2: 0.000539, 3: 0.604107}	3
ACUBOS	Cu	2	7777	{1: 0.234326, 2: 5.2e-05, 3: 0.586486}	3
ACUVOK	Cu	2	7777	{1: 0.227143, 2: 6.9e-05, 3: 0.428625}	3
ACUVUQ	Cu	2	7777	{1: 0.226419, 2: 0.000101, 3: 0.413128}	2
ACUYAY	Cu	2	7777	{1: 0.006176, 2: 0.003093, 3: 0.926399}	3
ACUYEC	Cu	2	7777	{1: 0.028399, 2: 4e-06, 3: 0.76021}	5
ACXACU	Cu	9999	7777	{1: 0.207636, 2: 0.002269, 3: 0.654437}	3
ADABAI	Cu	2	7777	{1: 0.240813, 2: 0.000107, 3: 0.506772}	2
ADAHIX	Cu	2	7777	{1: 0.311622, 2: 1.6e-05, 3: 0.466729}	2
ADALIB	Cu	2	7777	{1: 0.178613, 2: 2.6e-05, 3: 0.551251}	4
ADEGEX	Cu	1	2	{1: 9999, 2: 0.133133, 3: 9999}	2
ADEKOJ	Cu	2	7777	{1: 0.129928, 2: 0.017094, 3: 0.778047}	3
ADEYAK	Cu	2	7777	{1: 0.201154, 2: 2.3e-05, 3: 0.476914}	1
ADILEF	Cu	2	7777	{1: 0.144665, 2: 3.8e-05, 3: 0.591047}	5
ADIMEI	Cu	2	7777	{1: 0.237306, 2: 1.5e-05, 3: 0.499502}	1
ADIRAI	Cu	2	7777	{1: 0.002707, 2: 3.3e-05, 3: 0.816168}	2
ADIZET	Cu	2	7777	{1: 0.062067, 2: 3.3e-05, 3: 0.686884}	3
ADOQEP	Cu	1	7777	{1: 0.004438, 2: 0.038101, 3: 1.011409}	3
ADOYAW	Cu	1	7777	{1: 0.021863, 2: 0.115204, 3: 9999}	2
ADUGEO	Cu	1	7777	{1: 0.009752, 2: 0.337667, 3: 1.315051}	3
AEBZTZ	Cu	2	7777	{1: 0.428496, 2: 0.096787, 3: 0.411142}	1
AEPCUI	Cu	9999	7777	{1: 0.002664, 2: 0.014632, 3: 0.987621}	2
AEPIPC	Cu	9999	7777	{1: 0.319412, 2: 0.06333, 3: 0.608835}	1
AEPYCC12	Cu	2	7777	{1: 0.142128, 2: 0.00769, 3: 0.752243}	2
AEPYCU	Cu	2	7777	{1: 0.000169, 2: 1.4e-05, 3: 0.87549}	2
AETCUB	Cu	2	7777	{1: 0.18996, 2: 3.3e-05, 3: 0.607117}	4
AFAHEX	Cu	2	7777	{1: 0.204521, 2: 7.7e-05, 3: 0.522849}	2
AFAHIB	Cu	2	7777	{1: 0.217606, 2: 2.3e-05, 3: 0.539989}	2
AFAJOH	Cu	2	7777	{1: 0.139862, 2: 4.1e-05, 3: 0.630135}	3
AFATIM	Cu	2	7777	{1: 0.2352, 2: 0.000513, 3: 0.510025}	1
AFAVEK	Cu	2	7777	{1: 0.181598, 2: 0.000125, 3: 0.632942}	1
AFEDEW	Cu	2	7777	{1: 0.192112, 2: 7e-06, 3: 0.543656}	2
AFEFAT	Cu	2	7777	{1: 0.136452, 2: 0.000427, 3: 0.62672}	2
AFEGUO	Cu	2	7777	{1: 0.050907, 2: 1.3e-05, 3: 0.743604}	3
AFEHUP	Cu	2	7777	{1: 0.225309, 2: 0.00129, 3: 0.525211}	1
AFELED	Cu	2	7777	{1: 0.172272, 2: 8.7e-05, 3: 9999}	4
AFEZAP	Cu	9999	7777	{1: 0.469075, 2: 0.056463, 3: 9999}	2
AFIDIF	Cu	2	7777	{1: 0.239334, 2: 0.000318, 3: 0.582983}	2
AFIMOU	Cu	9999	7777	{1: 0.000284, 2: 0.00016, 3: 0.89511}	3
AFIPUA	Cu	2	7777	{1: 0.156396, 2: 0.000176, 3: 9999}	3
AFOLOW	Cu	2	7777	{1: 0.557945, 2: 0.286795, 3: 0.176542}	1
AFOVEW	Cu	1	7777	{1: 0.005861, 2: 0.119498, 3: 9999}	3
AGABUH	Cu	2	7777	{1: 0.216923, 2: 9.7e-05, 3: 0.566328}	3
AGAWAJ	Cu	2	7777	{1: 0.240135, 2: 0.000125, 3: 0.508047}	3
AGAWIO	Cu	2	7777	{1: 0.414943, 2: 0.076892, 3: 0.435705}	1
AGAYOZ	Cu	9999	7777	{1: 0.087694, 2: 1.5e-05, 3: 9999}	2
AGEQOU	Cu	1	7777	{1: 0.043345, 2: 0.071677, 3: 9999}	3
