refcode	metal	charge_cell2mol	charge_BVS	dictionary	unique_indices
ABEMAX	Fe	2	9999	{2: 9999, 3: 9999, 4: 9999, 6: 9999}	2
ABIJEB	Fe	3	3	{2: 0.621823, 3: 0.223731, 4: 9999, 6: 9999}	2
ABITEM	Fe	2	2	{2: 0.000501, 3: 0.621302, 4: 9999, 6: 9999}	2
ABITUC01	Fe	2	2	{2: 0.000113, 3: 0.603351, 4: 9999, 6: 9999}	3
ABOZOJ	Fe	3	7777	{2: 0.196717, 3: 0.099274, 4: 9999, 6: 9999}	2
ACAKOF	Fe	9999	8888	{2: 9999, 3: 0.741587, 4: 9999, 6: 9999}	2
ACAZFE	Fe	0	8888	{2: 9999, 3: 0.512854, 4: 9999, 6: 9999}	2
ACEDIV	Fe	2	8888	{2: 9999, 3: 0.64625, 4: 9999, 6: 9999}	1
ACEYOW	Fe	2	2	{2: 0.003298, 3: 0.565681, 4: 9999, 6: 9999}	2
ACODUR	Fe	2	8888	{2: 9999, 3: 0.786209, 4: 9999, 6: 9999}	3
ACOFAZ	Fe	2	8888	{2: 9999, 3: 0.767313, 4: 9999, 6: 9999}	3
ACOREQ	Fe	3	3	{2: 0.543462, 3: 0.34714, 4: 9999, 6: 9999}	2
ACORIU01	Fe	3	3	{2: 0.549652, 3: 0.355749, 4: 9999, 6: 9999}	2
ACOROA	Fe	3	7777	{2: 0.000333, 3: 3.5e-05, 4: 9999, 6: 9999}	2
ACORUG	Fe	3	7777	{2: 9.6e-05, 3: 0.250263, 4: 9999, 6: 9999}	2
ACOSAN	Fe	3	7777	{2: 0.002938, 3: 0.000811, 4: 9999, 6: 9999}	2
ACOTIV	Fe	3	7777	{2: 0.001083, 3: 0.009123, 4: 9999, 6: 9999}	3
ADAQUU	Fe	2	7777	{2: 0.099711, 3: 0.0654, 4: 9999, 6: 9999}	2
ADAREF	Fe	2	7777	{2: 0.203082, 3: 0.216314, 4: 9999, 6: 9999}	2
ADEJOK	Fe	2	7777	{2: 0.04949, 3: 0.007918, 4: 9999, 6: 9999}	3
ADEQIL	Fe	2	7777	{2: 0.015114, 3: 0.014288, 4: 9999, 6: 9999}	3
ADIGAV	Fe	2	2	{2: 0.086481, 3: 0.852927, 4: 9999, 6: 9999}	3
ADIGEB	Fe	3	2	{2: 0.000243, 3: 0.575589, 4: 9999, 6: 9999}	2
ADIZIW	Fe	2	8888	{2: 9999, 3: 0.785427, 4: 9999, 6: 9999}	4
ADOSIW	Fe	3	3	{2: 0.819756, 3: 0.049655, 4: 9999, 6: 9999}	1
ADUPAQ	Fe	9999	7777	{2: 0.308404, 3: 0.428049, 4: 9999, 6: 9999}	1
AETSFE	Fe	3	3	{2: 0.765822, 3: 0.378664, 4: 9999, 6: 9999}	2
