refcode	metal	charge_cell2mol	charge_BVS	dictionary	unique_indices
ABACRE	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
ABENRE	Re	4	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
ABUBOO	Re	1	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
ABUBUU	Re	1	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
ABUFAE	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
ABUFIM	Re	1	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
ABUFOS	Re	1	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
ABUFUY	Re	1	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
ACEFET	Re	1	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	2
ACERUV	Re	5	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
ACNCRE	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
ACOJEK	Re	1	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
ACPIPR	Re	5	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
ACTPRE	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
AGECEU	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
AGECOE	Re	5	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
AGEXAL	Re	1	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
AGOTIA	Re	9999	5	{1: 9999, 3: 2.219928, 4: 9999, 5: 0.001819, 6: 9999, 7: 0.842583}	3
AGOTOG	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	4
AGOTUM	Re	5	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	4
AGOVAU	Re	5	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	4
AGOVEY	Re	5	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	4
AHEHOK	Re	5	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	2
AKAJUT	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
AKERIR	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	5
AKEROX	Re	5	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	4
AKERUD	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	4
