refcode	metal	charge_cif
ABAFAN	Cu	1
ABAFER	Cu	1
ABAMUO	Cu	2
ABAXEI	Cu	2
ABAXIM	Cu	2
ABETEH	Cu	1
ABETIL	Cu	1
ABEYAK	Cu	2
ABEYIS	Cu	2
ABGTCU	Cu	2
ABIPOS	Cu	2
ABOBAU	Cu	2
ABOBUP	Cu	1
ABOCUQ	Cu	2
ABODUS	Cu	1
ABOFAA	Cu	1
ABOSIW	Cu	2
ABOSUI	Cu	2
ABOTET	Cu	2
ABOTOD	Cu	2
ABOVAR	Cu	2
ABOVEV	Cu	2
ABOVIZ	Cu	2
ABOWAS	Cu	2
ABPYCU	Cu	2
ABUBAD	Cu	2
ABUKIU	Cu	2
ABUMUG	Cu	2
ABUNET	Cu	2
ABUNIX	Cu	2
ABUVOI	Cu	2
ABUWAW	Cu	2
ABUWOK	Cu	2
ABUYOL	Cu	2
ABYPCU	Cu	2
ACADAL	Cu	2
ACADEP	Cu	2
ACADOZ	Cu	2
ACADUF	Cu	2
ACAHAQ	Cu	2
ACAJUM	Cu	2
ACARAX	Cu	2
ACEJAU	Cu	2
ACENCU	Cu	2
ACGLCU	Cu	2
ACIDIB	Cu	2
ACIFIC	Cu	2
ACIGEA	Cu	2
ACINAD	Cu	2
ACINIL	Cu	2
ACIQEK	Cu	1
ACITIP	Cu	2
ACMCUA	Cu	2
ACMCUB	Cu	2
ACMRCU10	Cu	2
ACOCUQ	Cu	1
ACOJEI	Cu	1
ACOLAI	Cu	2
ACOQAL	Cu	2
ACOXNI10	Cu	2
ACTHCU	Cu	2
ACUBOS	Cu	2
ACUVOK	Cu	2
ACUVUQ	Cu	2
ACUYAY	Cu	2
ACUYEC	Cu	2
ACXACU	Cu	2
ADABAI	Cu	2
ADAHIX	Cu	2
ADALIB	Cu	2
ADEGEX	Cu	1
ADEKOJ	Cu	2
ADEYAK	Cu	2
ADILEF	Cu	2
ADIMEI	Cu	2
ADIRAI	Cu	2
ADIZET	Cu	2
ADOQEP	Cu	1
ADOYAW	Cu	1
ADUGEO	Cu	1
AEBZTZ	Cu	2
AEPCUI	Cu	2
AEPIPC	Cu	2
AEPYCC12	Cu	2
AEPYCU	Cu	2
AETCUB	Cu	2
AFAHEX	Cu	2
AFAHIB	Cu	2
AFAJOH	Cu	2
AFASUW	Cu	2
AFATIM	Cu	2
AFAVEK	Cu	2
AFEDEW	Cu	2
AFEFAT	Cu	2
AFEGUO	Cu	2
AFEHUP	Cu	2
AFELED	Cu	2
AFEXUG	Cu	2
AFEZAP	Cu	2
AFIDIF	Cu	2
AFIMOU	Cu	2
AFIPUA	Cu	2
AFOLOW	Cu	2
AFOVEW	Cu	1
AFOWUO	Cu	2
AGABUH	Cu	2
AGAWAJ	Cu	2
AGAWIO	Cu	2
AGAYOZ	Cu	2
AGEQOU	Cu	1
AGEQUA	Cu	1
AGEVOY	Cu	2
AGEVUE	Cu	2
AGEXOA	Cu	2
AGEZES	Cu	2
AGIGED	Cu	2
AGIHII	Cu	2
AGIHOO	Cu	2
AGIXOE	Cu	2
AGLCUD	Cu	2
AGOFUZ	Cu	2
AGOGAG	Cu	2
AGOHAF	Cu	2
AGOJIP	Cu	2
AGOKEO	Cu	2
AGOROE	Cu	2
AGOTEW	Cu	2
AGOVIB	Cu	2
AGOVOI	Cu	2
AGOVUN	Cu	2
AGOXEZ	Cu	2
AGOXID01	Cu	2
AGOXOJ	Cu	2
AGOYUR	Cu	2
AGUKUK	Cu	2
AGULEU	Cu	2
AGUNIA	Cu	2
AGURUR	Cu	2
AHACUH	Cu	2
AHAFAQ	Cu	2
AHAFEU	Cu	2
AHAJIE	Cu	2
AHAPAB01	Cu	2
AHASAD	Cu	2
AHASOR	Cu	2
AHAWEN	Cu	2
AHAZUE	Cu	1
AHEGOL	Cu	2
AHEHOL	Cu	2
AHEPEJ	Cu	2
AHEQOU	Cu	2
AHIJAC	Cu	2
AHOQAR	Cu	2
AHOQEV	Cu	2
AHOVOK	Cu	2
AHUJOC	Cu	1
AHUTON	Cu	2
AHUVUU	Cu	2
AHUWAB	Cu	2
AHUWEF	Cu	2
AHUWIJ	Cu	2
AHUWOP	Cu	2
AHUWUV	Cu	2
AICOCU10	Cu	2
AJAQEI	Cu	2
AJAQIM	Cu	2
AJAQOT	Cu	2
AJARAG	Cu	2
AJAROS	Cu	2
AJARUZ	Cu	2
AJAVUD	Cu	1
AJAYIW	Cu	2
AJETER	Cu	1
AJEVOA	Cu	2
AJEVUG	Cu	2
AJICEC	Cu	2
AJICIG	Cu	2
AJIJEJ	Cu	2
AJIKUB	Cu	2
AJILIO	Cu	2
AJILUC	Cu	2
AJINEN	Cu	2
AJINIQ	Cu	2
AJIQAL	Cu	1
AJIQOB	Cu	2
AJISAP	Cu	2
AJIVEU	Cu	2
AJODAE	Cu	2
AJUFOC	Cu	2
AJUHUJ	Cu	2
AJUJUK	Cu	2
AJULOH	Cu	2
AKAMEG	Cu	2
AKAMIK	Cu	2
AKETUF	Cu	2
AKEVAN	Cu	2
AKEVER	Cu	2
AKEVIV	Cu	2
AKEVUH	Cu	2
AKEXUJ	Cu	2
