refcode	metal	charge_cif
ABEMAX	Fe	2
ABIJEB	Fe	3
ABITEM	Fe	2
ABITUC01	Fe	2
ABOZOJ	Fe	3
ACAKOF	Fe	2
ACAZFE	Fe	0
ACEDIV	Fe	2
ACEYOW	Fe	2
ACODUR	Fe	2
ACOFAZ	Fe	2
ACOREQ	Fe	3
ACORIU01	Fe	3
ACOROA	Fe	3
ACORUG	Fe	3
ACOSAN	Fe	3
ACOTIV	Fe	3
ACUMUH	Fe	2
ADAQUU	Fe	2
ADAREF	Fe	2
ADEJOK	Fe	2
ADEQIL	Fe	2
ADIGAV	Fe	2
ADIGEB	Fe	3
ADIZIW	Fe	2
ADOSIW	Fe	3
ADUHEP	Fe	3
ADUPAQ	Fe	2
AETSFE	Fe	3
AFACUI	Fe	4
AFANEB	Fe	2
AFEFUN	Fe	3
AFEZUI	Fe	2
AFIBAU	Fe	2
AFIGEE	Fe	3
AFOZUT	Fe	2
AFUGIS	Fe	2
AFUHOB01	Fe	2
AFUTEB	Fe	2
AFUYAD	Fe	2
AGAWUB	Fe	2
AGESOV	Fe	2
AGISER	Fe	2
AGIZEX	Fe	2
AGOGEI	Fe	3
AGUDIQ	Fe	2
AGUGIS	Fe	2
AGUGOY	Fe	2
AGULUL	Fe	3
AGUMAS	Fe	3
AGUYUW	Fe	2
AGUYUY	Fe	3
AHAQUV	Fe	3
AHAREG	Fe	3
AHARIK	Fe	3
AHEPOT	Fe	3
AHICIE	Fe	2
AHICOK	Fe	2
AHOBOP	Fe	2
AHOBUV	Fe	2
AHOHIP	Fe	2
AHUGOA	Fe	2
AJALED	Fe	2
AJALIH	Fe	2
AJAXEP	Fe	2
AJEFIG	Fe	2
AJEFOM	Fe	3
AJEPIP	Fe	2
AJEVIU	Fe	3
AJIMIR	Fe	3
AJIMOV	Fe	2
AJUJOE	Fe	0
AJUKIA	Fe	2
AKAGEY	Fe	3
AKAZUH	Fe	2
AKEMAE	Fe	3
AKEMUY	Fe	2
AKENAF	Fe	2
AKEQEM	Fe	2
AKIWIC	Fe	3
AKOMUL	Fe	3
AKUSIL	Fe	2
ALALAA	Fe	3
ALAVUE	Fe	2
ALAWAL	Fe	2
ALAXEQ	Fe	2
ALAXIU	Fe	2
ALEQEO	Fe	2
ALIKUC	Fe	2
ALILAJ	Fe	2
ALILEN	Fe	2
ALILOX	Fe	2
ALIWAU	Fe	3
ALOGUD	Fe	3
AMAGUR	Fe	2
AMAHOM	Fe	2
AMAHUS	Fe	2
AMAVOB	Fe	2
AMINOA	Fe	2
