refcode	metal	charge_cif
ABIZES	Mn	2
ABUBII	Mn	1
ABUKUG	Mn	3
ABUMAN	Mn	2
ACACMN	Mn	3
ACAGUH	Mn	2
ACBZMN10	Mn	1
ACEDUH	Mn	1
ACELUR	Mn	2
ACTPMN	Mn	1
ADAZEL	Mn	2
ADEHIB	Mn	2
ADEVIP	Mn	2
ADIPUB	Mn	3
ADIQAI	Mn	3
ADOROA	Mn	2
AETSMN	Mn	3
AFAROO	Mn	3
AFATAE	Mn	3
AFAXIO	Mn	3
AFAYEL	Mn	2
AFEDIZ	Mn	2
AFEWOA	Mn	3
AFOLEN	Mn	2
AFOLIQ	Mn	2
AFUSAV	Mn	1
AGAGOH	Mn	2
AGICIF	Mn	2
AGLCMN	Mn	2
AGOQUJ	Mn	2
AGUBAF	Mn	2
AGUBIN	Mn	2
AGUFUG	Mn	3
AGUJUH	Mn	3
AGUWEE	Mn	2
AHAVUB	Mn	2
AHICEA	Mn	2
AHMALM	Mn	2
AHOHEL	Mn	2
AHOMES	Mn	3
AHUCAI	Mn	3
AJICUT	Mn	2
AJIHOR	Mn	2
AJIMAI	Mn	3
AJOZAA01	Mn	3
AJUDUG	Mn	2
AJUGAP	Mn	2
AJUGET	Mn	2
AKELAD	Mn	1
AKEQAI	Mn	2
AKITET	Mn	2
ALABEW	Mn	2
ALAGOM	Mn	1
ALAGUS	Mn	1
ALAHUT	Mn	1
ALEKUX	Mn	2
ALIHAE	Mn	2
ALIQOD	Mn	3
ALIYID	Mn	3
ALIYOJ	Mn	3
ALLPMN	Mn	1
ALOVIH	Mn	3
AMATEQ	Mn	2
AMAVAN	Mn	2
AMIPAP	Mn	2
AMIQES	Mn	2
ANAHAB	Mn	1
ANAJOR	Mn	1
ANEHUY	Mn	2
ANIBEF	Mn	2
ANIBIJ	Mn	2
ANOFEP	Mn	2
APAXIZ	Mn	2
AQAHUW	Mn	2
AQAPAK	Mn	2
AQAWIY	Mn	3
AQELUE	Mn	2
AQIMES	Mn	2
AQSUMN	Mn	2
ARAPAK	Mn	2
AROBEO	Mn	2
AROCUF	Mn	2
ASAZAY	Mn	2
ASEBEF	Mn	2
ASEJIU	Mn	2
ASOVEJ	Mn	2
ASOVOT	Mn	2
ASOYIQ	Mn	2
ASUVIT	Mn	2
ATEJIU	Mn	2
ATEWAZ	Mn	2
ATOMOM	Mn	2
ATOQIL	Mn	3
ATUNAE	Mn	2
AVALAL	Mn	2
AWOJEC	Mn	3
AWOLOO	Mn	3
AWOMAB	Mn	2
AWOWEP	Mn	2
AXAJUE	Mn	2
AXECIR	Mn	2
AXEHUG	Mn	2
AXEVOQ	Mn	2
AXISEF	Mn	2
AXISIJ	Mn	3
AXISOP	Mn	2
AXITAC	Mn	2
AXITEG	Mn	3
AXUXUM	Mn	2
AXUZAV	Mn	3
AYADEJ	Mn	2
AYALAN	Mn	3
AYEHOD	Mn	2
AYIREG	Mn	2
AYODAV	Mn	2
AYOMAD	Mn	2
AYUKAI	Mn	2
AZINAZ	Mn	2
AZISUY	Mn	2
AZIYOY	Mn	2
AZIZAL	Mn	2
AZOFAX	Mn	2
AZULIQ	Mn	2
AZUMAJ	Mn	2
BACNOK	Mn	2
BADDAN	Mn	2
BADDER	Mn	2
BAFTAG	Mn	2
BAGTIP	Mn	2
BAJVOZ	Mn	3
BAKWUH	Mn	2
BALBOH	Mn	2
BALCOJ	Mn	3
BANFOM	Mn	3
BAQXAS	Mn	2
BASGAE	Mn	2
BASGEI	Mn	2
BATZIF	Mn	1
BAWLAN	Mn	2
BAYKIX	Mn	2
BEFPOR	Mn	1
BEGCAR	Mn	2
BEHDOH	Mn	1
BEMGEH	Mn	2
BEMWUM	Mn	2
BENJEK	Mn	2
BEPRET	Mn	3
BEPREU	Mn	2
BEPTEW	Mn	3
BEPTIA	Mn	3
BEPVUN	Mn	3
BEPZAA	Mn	2
BEQCUX	Mn	3
BERKOA	Mn	2
BERMIU	Mn	1
BESXUT	Mn	2
BETCUA	Mn	2
BETNIX	Mn	4
BETQAT	Mn	1
BETQEY	Mn	2
BEWVEE	Mn	1
BEXJAQ	Mn	2
BEXJOE	Mn	2
BEXJUK	Mn	2
BEXLIC	Mn	2
BEXLOI	Mn	2
BEXLUO	Mn	2
BEXMAV	Mn	2
BEZSOQ	Mn	3
BEZTOR	Mn	2
BEZZEN	Mn	3
BICLIJ	Mn	3
BIDCIB	Mn	2
BIFZUO	Mn	2
BIGHIJ	Mn	2
BIKDAA	Mn	2
BIKZUQ10	Mn	2
BILQAP	Mn	3
BIMLIT	Mn	1
BINCEG11	Mn	2
BINZAA	Mn	2
BIPBIM	Mn	2
BIPJER	Mn	2
BIRGAK	Mn	1
BIRJUJ	Mn	2
BIRKAQ	Mn	2
BISFAK	Mn	2
BISHIX	Mn	1
BIZMUV	Mn	3
BIZTEK	Mn	2
BMPYMN	Mn	2
BOFDEG	Mn	3
BOFMIU	Mn	2
BOFNAN	Mn	2
BOFNER	Mn	2
BOGPIX	Mn	2
BOHKUF	Mn	2
BOHSEZ	Mn	1
BOHSID	Mn	1
BOHZUU	Mn	2
BOKHAN	Mn	2
BOKLOE01	Mn	2
BOLCUC	Mn	3
BOLZAG	Mn	3
BOMFAN	Mn	2
BOMKIX	Mn	2
BOMMEX	Mn	2
BOQPED	Mn	2
BOTNII	Mn	2
BOTZUH	Mn	2
BOVGID	Mn	2
BOVRIO	Mn	2
BOVSIP	Mn	2
BOVSOV	Mn	2
BOWQOV	Mn	2
BOXVAN	Mn	2
BOZMIN	Mn	2
BOZZAR	Mn	4
BPHMNC03	Mn	3
BRURMN	Mn	2
BUBGAI	Mn	2
BUBHEM	Mn	2
BUCGAI	Mn	3
BUCRAS	Mn	2
BUHRED	Mn	3
BUJYUB	Mn	2
BULVIQ	Mn	2
BUNLOM	Mn	2
BUNMAZ	Mn	2
BUNMED	Mn	2
BURMIL	Mn	1
BURMOR	Mn	1
BURSEN	Mn	2
BURYAQ01	Mn	2
BUSMOR	Mn	2
BUTBAU	Mn	2
BUTBEY	Mn	2
BUTYAR	Mn	3
BUXYAV	Mn	2
BUXYIE	Mn	3
BUYMUE	Mn	2
BUZQOE	Mn	2
CAFGUL	Mn	3
CAFXEM	Mn	2
CAHGAW	Mn	2
CAMJUY	Mn	2
CAQXEA	Mn	2
CATHIP	Mn	2
CAVKEQ	Mn	2
CAWMIX	Mn	3
CAWWII	Mn	2
CAWWOP	Mn	2
CAXTIH	Mn	2
CAXTUR	Mn	2
CAXVAZ	Mn	3
CAZNIB	Mn	2
CAZNUN	Mn	2
CAZZUY	Mn	2
CEDTAJ	Mn	2
CEDVUF	Mn	2
CEDWAM	Mn	2
CEDXIT	Mn	2
CEDZUI	Mn	2
CEFGAX	Mn	2
CEHMAE	Mn	2
CEHZIZ	Mn	2
CEJQEO	Mn	3
CEKWIA	Mn	3
CEMSIW	Mn	2
CETDAG	Mn	2
CETGOX	Mn	2
CEVTEC	Mn	3
CEWBOW	Mn	3
CEXGES	Mn	3
CEXHOE	Mn	3
CEXJEW	Mn	3
CEXNUP	Mn	2
CEXPEB	Mn	2
CEZYOW	Mn	2
CEZYUC	Mn	2
CGLYMN	Mn	2
CIBKIK	Mn	3
CICHEC	Mn	2
CICWAP	Mn	2
CIDJUX	Mn	2
CIDKAE	Mn	2
CIDKEI	Mn	2
CIHYEY	Mn	1
CIKTOG	Mn	2
CIKZON	Mn	3
CIMBUV	Mn	1
CIMGOU	Mn	1
CIMHAH	Mn	1
CIMHEL	Mn	1
CIMHEN	Mn	2
CIMHOX	Mn	2
CIMJIR	Mn	1
CIRDEN	Mn	2
CIRQUP	Mn	2
CISHAO	Mn	4
CIVREF	Mn	2
CIWVUA	Mn	2
CIWXAI	Mn	2
CMNMVK	Mn	1
CMPOMN	Mn	2
COBVEX	Mn	2
COCXIC	Mn	2
CODBED	Mn	2
CODLIS	Mn	2
CODLOY	Mn	2
COHSUP	Mn	2
COHTAW	Mn	2
COJGUG	Mn	3
COJHAN	Mn	3
COJHER	Mn	2
COKYEJ	Mn	2
COLDIS	Mn	3
COLNEW	Mn	2
COLWUV	Mn	2
COLZEI	Mn	1
COLZUZ	Mn	2
COMKOF	Mn	2
CONFAN	Mn	2
CONTEE	Mn	2
CORLIE	Mn	2
COTFIB	Mn	2
COTMOO	Mn	3
COYLEH10	Mn	2
COYNAH	Mn	2
CPMNCO	Mn	1
CPXHQM	Mn	2
CUFYIN	Mn	3
CUJFOC	Mn	2
CUJNUQ	Mn	2
CUJPAY	Mn	2
CUJSAD	Mn	1
CUKCEQ10	Mn	2
CUKLOK	Mn	3
CUKMIF	Mn	2
CUMXUF	Mn	2
CUNBAQ	Mn	3
CUNBEU	Mn	3
CUSVOC	Mn	2
CUTGIJ	Mn	2
CUTGOP	Mn	2
CUVZIE	Mn	2
CUWMOW	Mn	2
CUXFUW	Mn	2
CUZNAM	Mn	2
CUZTIB	Mn	3
CUZTUN	Mn	2
DAHCAT	Mn	3
DAMSEQ	Mn	2
DAMXIB	Mn	2
DAMXUL	Mn	2
DAVGOX	Mn	3
DAXPEY	Mn	1
DAXPOI	Mn	1
DAXPUO	Mn	1
DEBHOJ	Mn	3
DEBZAN	Mn	4
DECKEC	Mn	2
DEGFUR	Mn	2
DEGKEG	Mn	2
DEGVET	Mn	2
DEJRIU	Mn	2
DEJROA	Mn	2
DEJRUG	Mn	2
DEKBIH	Mn	2
DELQIU	Mn	2
DELQOA	Mn	2
DELQUG	Mn	2
DENTUM	Mn	2
DEVLAS	Mn	2
DEVLEW	Mn	2
DEVLIA	Mn	2
DEVLOG	Mn	2
DEVMOH	Mn	3
DEVPAY	Mn	2
DEVTII	Mn	2
DEWHEV	Mn	2
DEXYAH	Mn	2
DEYBOA	Mn	2
DIBXUH	Mn	2
DIBZEW	Mn	4
DICNOU	Mn	2
DIDCAW	Mn	2
DIGGUX	Mn	2
DIMPEU11	Mn	2
DITQEE	Mn	2
DIVCAO	Mn	3
DIVFUL	Mn	2
DIVXUC	Mn	1
DIVYAJ	Mn	1
DIXCEV	Mn	2
DIXCIZ	Mn	2
DIXJEC	Mn	1
DIXYAL	Mn	1
DIZZES	Mn	2
DOBYIE	Mn	2
DOFWAX	Mn	2
DOFWED	Mn	2
DONFUI	Mn	2
DONGIX	Mn	2
DONGOD	Mn	2
DOPTAD	Mn	2
DOVKAB	Mn	3
DOVKEF	Mn	3
DOVKUV	Mn	3
DOWBEX	Mn	1
DOZDUR	Mn	2
DOZFAZ	Mn	2
DUBGIS	Mn	2
DUCMIX	Mn	1
DUDKIZ	Mn	2
DUDWEG	Mn	3
DUDWIK	Mn	3
DUGVUZ	Mn	3
DUKQUW	Mn	1
DULVIR	Mn	4
DULVOX	Mn	4
DUMBIX	Mn	2
DUPWER	Mn	3
DUQQAJ	Mn	2
DURDUP	Mn	3
DURMEK	Mn	2
DURMIO	Mn	2
DURQIR	Mn	2
DUWVAT	Mn	2
EBAZOZ	Mn	2
EBEFAU	Mn	3
EBEFIC	Mn	3
EBILOQ	Mn	3
EBUBUZ	Mn	3
EBUCIO	Mn	3
ECECOG	Mn	2
ECOQIX	Mn	2
EDAFEV	Mn	2
EDAMOL	Mn	3
EDANII	Mn	3
EDTMNK	Mn	3
EDULEW	Mn	2
EFINEM	Mn	2
EFOREW	Mn	3
EFUYIP	Mn	2
EGIWUO	Mn	3
EGIZOK	Mn	2
EGOTID	Mn	4
EGOTOJ	Mn	4
EGUQEE	Mn	2
EHABOE	Mn	2
EHAMIJ	Mn	2
EHAWOZ	Mn	2
EHEWIZ	Mn	2
EHIBEC	Mn	2
EHIPAM	Mn	2
EHIWIC	Mn	2
EHOJER	Mn	2
EHOJIV	Mn	2
EHOKAO	Mn	3
EHOMOE	Mn	1
EJAYUK	Mn	2
EJAZEV	Mn	2
EJEVAR	Mn	2
EJEVEV	Mn	3
EJUDUL	Mn	1
EJUFAT	Mn	1
EJUFEX	Mn	1
EJUFIB	Mn	1
EKAREQ	Mn	2
EKOZEK	Mn	2
EKOZIO	Mn	2
EKOZOU	Mn	2
ELEGOS	Mn	2
ELIQEW	Mn	2
ELUTUD	Mn	2
ELUVAL	Mn	2
