refcode	metal	charge_cif
AACANI11	Ni	2
ABAJAP	Ni	2
ABASEC	Ni	2
ABAXEH	Ni	1
ABECIU	Ni	2
ABEDAN	Ni	2
ABEDIV	Ni	2
ABEDUH	Ni	2
ABEPAA	Ni	2
ABEPEE	Ni	2
ABESEI	Ni	2
ABIPIK	Ni	2
ABIZAN	Ni	2
ABOBAV	Ni	2
ABOMAH	Ni	2
ABOMAI	Ni	2
ABOQEO	Ni	0
ABOQOY	Ni	0
ABOTNI	Ni	2
ABUVUO	Ni	2
ABUVUP	Ni	2
ABUWAV	Ni	2
ABUWUP	Ni	2
ABUZUT	Ni	2
ABXNIH	Ni	2
ABZINI10	Ni	2
ACAMNI	Ni	2
ACAPNI	Ni	2
ACASOO	Ni	2
ACATOO	Ni	3
ACAVAC	Ni	3
ACAZIP	Ni	2
ACEKAU	Ni	0
ACENNI	Ni	2
ACEWIO	Ni	2
ACIFUP	Ni	3
ACINEH	Ni	2
ACITAH	Ni	2
ACLBNI	Ni	2
ACMPNI	Ni	2
ACNIET11	Ni	2
ACOWAS	Ni	2
ACOXNU10	Ni	2
ACOYUO	Ni	2
ACPXNI	Ni	4
ACTPNI	Ni	2
ACUGUC	Ni	2
ACUJAL	Ni	2
ACUJEQ	Ni	2
ADEREG01	Ni	2
ADIFID	Ni	2
ADIMOS	Ni	2
ADIREN	Ni	2
ADUFAJ	Ni	2
ADUFEK	Ni	2
ADUFIR	Ni	2
ADUVOL	Ni	2
ADUXIJ	Ni	2
AEAMNI12	Ni	2
AEMANI	Ni	2
AENNIN	Ni	2
AFATEG	Ni	2
AFAVIO	Ni	2
AFEGAU	Ni	2
AFEHOJ	Ni	2
AFEKIG	Ni	2
AFEKUS	Ni	2
AFEMAB	Ni	2
AFIBUN	Ni	2
AFICIC	Ni	2
AFOJEN	Ni	2
AFOMAK	Ni	2
AFOMEO	Ni	2
AFUCOU	Ni	2
AFUCUA	Ni	2
AFUDAH	Ni	2
AFUXIK	Ni	2
AGAMIH	Ni	2
AGEBOG	Ni	2
AGETIQ	Ni	3
AGIDIF	Ni	2
AGIKUW	Ni	2
AGILAD	Ni	2
AGOHEJ	Ni	2
AGOJAK	Ni	2
AGORET	Ni	2
AGOSUL	Ni	2
AGOZUR	Ni	2
AGUZOR	Ni	3
AHABAM	Ni	3
AHABER	Ni	2
AHABIV	Ni	2
AHABOB	Ni	2
AHABUH	Ni	2
AHACOB	Ni	2
AHAPIJ	Ni	2
AHDNIC	Ni	2
AHEPAF	Ni	2
AHIGIH	Ni	2
AHIGON	Ni	2
AHIGOO	Ni	2
AHIGUT	Ni	3
AHIGUU	Ni	2
AHIHAB	Ni	2
AHIHEE	Ni	2
AHIHUU	Ni	2
AHUCOY	Ni	2
AHUCUE	Ni	2
AHUQAV	Ni	2
AHUQEZ	Ni	2
AIBXNI	Ni	2
AJADEV	Ni	2
AJADIZ	Ni	2
AJAFEX	Ni	2
AJAFOH	Ni	2
AJAKUS	Ni	2
AJAYOZ	Ni	2
AJEGAY	Ni	2
AJIKUZ	Ni	2
AJILOU	Ni	2
AJIQAM	Ni	2
AJIZAW	Ni	2
AJOFIP	Ni	2
AJUHES	Ni	3
AJUHOD	Ni	2
AJUPEA	Ni	2
AJUPEC	Ni	2
AJUPIE	Ni	2
AJUQAX	Ni	2
AJUQOL01	Ni	2
AJURAY01	Ni	2
AKEQOW	Ni	2
AKOTUQ	Ni	2
AKOWAB	Ni	2
AKOWAZ	Ni	2
AKOWIH	Ni	2
AKUFER	Ni	2
AKULAT	Ni	2
AKUNAY	Ni	2
AKUVEK	Ni	2
ALAKII	Ni	2
ALAVIS	Ni	2
ALAVOY	Ni	2
ALAWEP	Ni	2
ALAWIT	Ni	2
ALEBAU	Ni	2
ALEHOQ	Ni	2
ALELAE	Ni	2
ALELEI	Ni	2
ALEMEJ	Ni	2
ALESEQ	Ni	2
ALINAL	Ni	2
ALIREU	Ni	2
ALOPIA	Ni	2
ALOSAW	Ni	2
ALOTOL	Ni	2
ALOTUR	Ni	2
ALSRNI10	Ni	2
ALTUNI10	Ni	2
ALUBAL	Ni	2
ALUXEK	Ni	2
ALUXIO	Ni	2
AMALAB	Ni	2
AMALOP	Ni	2
AMAMAD	Ni	3
AMARIR	Ni	2
AMBONC	Ni	2
AMBXNI	Ni	2
AMEKUY	Ni	2
AMELEJ	Ni	2
AMELUZ	Ni	2
AMIKUE	Ni	2
AMIMIS	Ni	2
AMIQIW	Ni	2
AMUYOY	Ni	2
ANAJUW	Ni	2
ANENEO	Ni	2
ANENIS	Ni	2
ANENUE	Ni	2
ANEPAM	Ni	2
ANIDED10	Ni	2
ANOBEN	Ni	2
ANOCAK	Ni	2
ANOFAN	Ni	2
ANOFIV	Ni	2
ANOGES	Ni	2
ANOGOC	Ni	2
ANPYNI	Ni	2
APAREQ	Ni	2
APAYAS	Ni	2
APDANI	Ni	2
APIMNI	Ni	2
APIVAX	Ni	2
APZPQN	Ni	2
AQACNJ	Ni	2
AQAPEO	Ni	2
AQEMOZ	Ni	2
AQIFIQ	Ni	2
AQIRAV	Ni	2
AQIREZ	Ni	2
AQODUH	Ni	2
AQOHUJ	Ni	2
AQOYOV	Ni	2
AQOZAI	Ni	2
AQPRLB	Ni	2
AQUKAA	Ni	2
AQUSOV	Ni	2
AQUTEM	Ni	2
AQUTIQ	Ni	2
AQUZER	Ni	2
AQUZIV	Ni	2
AQUZIW	Ni	2
ARAKUC	Ni	1
ARAPOA	Ni	2
ARECOR	Ni	2
ARECUX	Ni	2
AREJUD	Ni	2
AREKIS	Ni	2
AREKOY	Ni	2
AREKUE	Ni	2
ARELAL	Ni	2
ARENER	Ni	2
ARILUI	Ni	2
ARIMAP	Ni	2
ARIRUR	Ni	2
ARIVEE	Ni	2
ARIZAE	Ni	2
AROCIT	Ni	2
AROCOA	Ni	2
AROGAS	Ni	2
AROMAW	Ni	2
AROSIK	Ni	2
ARUGAW	Ni	2
ARUMAD	Ni	2
ASALNI11	Ni	2
ASAXAU	Ni	2
ASEFEM	Ni	2
ASENIA	Ni	2
ASICOU	Ni	2
ASISAX	Ni	2
ASOWUA	Ni	2
ASOXEL	Ni	2
ASOYOW	Ni	2
ASOZAJ	Ni	2
ASOZOX	Ni	2
ASUBEV	Ni	2
ASUCNI	Ni	2
ASUHUR	Ni	2
ASULOR	Ni	2
ATEGAJ	Ni	2
ATOCOC	Ni	2
ATOKUP	Ni	2
ATOMUS	Ni	2
ATOPUW	Ni	2
ATOTIO	Ni	2
ATPONI	Ni	2
ATSZNI10	Ni	2
ATUJEG	Ni	2
ATUPUA	Ni	2
ATUQAH	Ni	2
ATUROW	Ni	2
ATURUC	Ni	2
ATUXOD	Ni	2
AVAYEB	Ni	2
AVEKAO	Ni	2
AVETAW	Ni	2
AVIBIR	Ni	2
AVIBOX	Ni	2
AVOHOI	Ni	2
AVOJIE	Ni	2
AVOKAX	Ni	2
AVOKON	Ni	2
AVORAE	Ni	2
AVOROU	Ni	2
AVUNOU	Ni	2
AWAQEV	Ni	2
AWELUJ	Ni	2
AWENAS	Ni	2
AWIJEX02	Ni	2
AWOJAY	Ni	2
AWOSUB	Ni	2
AWOWOZ	Ni	2
AWUDAY	Ni	2
AWUDUS	Ni	2
AWUTAN	Ni	2
AXALEQ	Ni	2
AXEHEQ	Ni	2
AXEHOA	Ni	2
AXIHOE	Ni	2
AXINUR	Ni	2
AXIQOO	Ni	2
AXITAE	Ni	3
AXITIM	Ni	3
AXOTAK	Ni	2
AXUSAO	Ni	2
AXUTOE	Ni	2
AXUTUK	Ni	2
AYACUY	Ni	2
AYADAF	Ni	2
AYAGEM	Ni	2
AYAGIQ	Ni	2
AYEKIA	Ni	2
AYEWEG	Ni	2
AYIDOB	Ni	2
AYIDUH	Ni	2
AYIJEY	Ni	2
AYINAY	Ni	2
AYIQIJ	Ni	2
AYIRIK	Ni	2
AYITAE	Ni	2
AYITEI	Ni	2
AYIYEN	Ni	2
AYOBAS	Ni	2
AYODUP	Ni	2
AYOLEG	Ni	2
AYOYES	Ni	2
AYUHIN01	Ni	1
AYUWAU	Ni	2
AZANOG	Ni	2
AZAYOR	Ni	2
AZEREC	Ni	2
AZIDIY	Ni	2
AZIXEO	Ni	2
AZIXIS	Ni	2
AZOCNI16	Ni	2
AZOXIW	Ni	2
AZUVAS	Ni	2
AZUVEW	Ni	2
AZUVIA	Ni	2
AZUVOG	Ni	2
AZUVUM	Ni	2
BABDOY	Ni	2
BABMEA	Ni	2
BABPAX	Ni	2
BABQAZ	Ni	2
BACDUH	Ni	2
BACGET	Ni	2
BACGIX	Ni	2
BACPEC	Ni	2
BACVIN	Ni	2
BACVUZ	Ni	2
BACYUC	Ni	2
BACZAH	Ni	2
BACZAJ	Ni	2
BACZEN	Ni	2
BADCOA	Ni	2
BADGEV	Ni	2
BADGIZ	Ni	2
BADHIZ	Ni	2
BADSAA10	Ni	2
BADZOV	Ni	2
BAFBUH	Ni	2
BAFKOI	Ni	2
BAFSIM	Ni	2
BAGCIV	Ni	2
BAGGAT	Ni	2
BAHMEE	Ni	2
BAHMII	Ni	3
BAJGID	Ni	2
BAJTEL	Ni	2
BAJVEN	Ni	2
BAJVUE	Ni	2
BAJWAL	Ni	2
BAJWEP	Ni	2
BAJWOZ	Ni	2
