refcode	metal	charge_cif
ABILUT	Cr	3
ACAYOT	Cr	1
ACEGOH	Cr	3
ACRTUR	Cr	3
ACUBIL	Cr	3
ACUDOR	Cr	0
ACUDUX	Cr	0
ACUFAF	Cr	0
ADOPEP	Cr	5
ADUXOO	Cr	3
AETSCR	Cr	3
AFEKOM	Cr	3
AFOMEQ	Cr	3
AFOSUM	Cr	2
AGOFEI	Cr	3
AHEZAO	Cr	3
AJUKEW	Cr	2
AKAGAU	Cr	3
AKASEM	Cr	4
AKASIQ	Cr	2
ALESOA	Cr	2
ALESUG	Cr	2
ALETAN	Cr	2
ALETER	Cr	2
ALOZAD	Cr	3
ALUHIZ	Cr	4
ALUVEJ	Cr	6
ALUVIN	Cr	6
AMOXCR	Cr	3
AQAMEL	Cr	3
AQEMUF	Cr	3
AQOZEM	Cr	3
ARIRIC	Cr	3
ARIROI	Cr	3
AROWUZ	Cr	3
ATOLAW	Cr	3
AVUCUP	Cr	3
AVUDAW	Cr	3
AVUDIE	Cr	3
AXUXEW	Cr	2
AYIZIS	Cr	0
AYOHIG	Cr	0
BACRUS10	Cr	3
BAJZOC	Cr	3
BAPPOX	Cr	3
BAPWOF	Cr	3
BATPAQ	Cr	3
BAVGAG	Cr	0
BAVGEK	Cr	0
BAVGIO	Cr	0
BAVGUA10	Cr	3
BAZMUL	Cr	3
BEBLEZ	Cr	0
BECRIK	Cr	3
BEKGAB	Cr	3
BEKGEF	Cr	3
BEKGOP	Cr	3
BEQTEW	Cr	0
BEQTIA	Cr	0
BEQTUM	Cr	0
BEQYOM	Cr	3
BEZLOH	Cr	0
BGUCRM	Cr	3
BIBPEI	Cr	0
BILDAB	Cr	0
BILDIJ	Cr	3
BILVUQ	Cr	3
BILWAX	Cr	3
BINHOV	Cr	3
BIPMAO	Cr	0
BIPMOC	Cr	3
BIPNOD	Cr	0
BIVTOP	Cr	0
BIWPIH	Cr	3
BOCMIR	Cr	0
BODHUZ	Cr	3
BOFFUY	Cr	3
BOLJUI	Cr	3
BOLKET	Cr	3
BONGEQ	Cr	0
BOPPIF10	Cr	3
BORFET	Cr	0
BORVIQ	Cr	4
BORWIR	Cr	3
BORWOX	Cr	3
BOTHEX	Cr	3
BOXKUW	Cr	3
BOXLAD	Cr	3
BOZCAW	Cr	3
BOZCEA	Cr	3
BTCRBZ	Cr	0
BUGRIE	Cr	0
BUJPED	Cr	3
BUJPIH	Cr	2
BUJQOO	Cr	3
BUJXIO	Cr	2
BUJXOU	Cr	2
BUPBET	Cr	2
BUPXAM	Cr	3
BUPXEQ	Cr	3
BUQYES	Cr	3
BUTDAV	Cr	3
BUWLOU	Cr	0
BUWYIB	Cr	3
CABSEH	Cr	3
CABSOR	Cr	3
CAFZAM	Cr	2
CAGCIW	Cr	2
CAHCOG	Cr	3
CAKCIA	Cr	3
CAQJAF	Cr	3
CASMEP	Cr	3
CATLAL	Cr	5
CATLIT	Cr	5
CAVFUA	Cr	0
CAVGAH	Cr	1
CAXVUS	Cr	0
CAZVAA	Cr	3
CEBRUW	Cr	3
CEPJIR	Cr	0
CEPXIE	Cr	0
CERDOT	Cr	3
CERDUZ	Cr	3
CEXVUW	Cr	0
CEXWAD	Cr	0
CEXXAE	Cr	0
CHVICR	Cr	0
CIBVAK	Cr	3
CIDVOA	Cr	2
CIGBID	Cr	0
CIGGOP	Cr	3
CIGGUV	Cr	2
CIGLUZ	Cr	3
CIHJEJ	Cr	3
CIHLUA	Cr	3
CILGIO	Cr	2
CMPHSC	Cr	0
CMPYCR	Cr	0
COFRIZ	Cr	3
COFROF	Cr	3
COPCAM	Cr	2
COPKAU	Cr	0
COPKEY	Cr	0
CORCOC	Cr	0
CORCUI	Cr	0
CORDAP	Cr	0
CORDET	Cr	0
CORDOD	Cr	0
CORFAR	Cr	0
CORFAS	Cr	2
CORFIA	Cr	1
CORFOG	Cr	3
CORGAT	Cr	1
CTMTCR	Cr	0
CUBBOQ	Cr	2
CUKXOV	Cr	2
CUMHEZ	Cr	3
