refcode	metal	charge_cif
ABACRE	Re	2
ABENRE	Re	2
ABUBOO	Re	1
ABUBUU	Re	1
ABUFAE	Re	5
ABUFIM	Re	1
ABUFOS	Re	1
ABUFUY	Re	1
ACEFET	Re	1
ACERUV	Re	5
ACNCRE	Re	1
ACOJEK	Re	1
ACPIPR	Re	5
ACTPRE	Re	1
ACUSIA	Re	5
AGECEU	Re	5
AGECOE	Re	5
AGEXAL	Re	1
AGOTIA	Re	5
AGOTOG	Re	5
AGOTUM	Re	5
AGOVAU	Re	5
AGOVEY	Re	5
AHEDEW	Re	1
AHEHOK	Re	5
AKAJUT	Re	5
AKERIR	Re	5
AKEROX	Re	5
AKERUD	Re	5
AKINUD	Re	4
ALEZOG	Re	1
ALIZUR	Re	1
ALOBAF	Re	1
AMEMUA	Re	1
AMENOV	Re	1
AMOHIT	Re	5
AMOKOC	Re	5
AMOKUI	Re	5
AMOLIX	Re	5
AMOMAQ	Re	5
AMOMEU	Re	5
AMOMIY	Re	6
AMONOF	Re	5
AMONUL	Re	5
AMOPAT	Re	5
AMOQAU	Re	5
AMOQEY	Re	5
AMOQIC	Re	5
AMOSAW	Re	5
AMOZOR	Re	3
ANREPS01	Re	3
APAZOH	Re	7
APAZUN	Re	7
APIZIJ	Re	7
APUSOU	Re	1
AQUTUB	Re	2
AQUVAJ	Re	2
AROKAT	Re	5
ASEKOB	Re	1
ASINEV	Re	5
ASPTCR	Re	5
AVUVET	Re	1
AVUVIX	Re	1
AWELOD	Re	7
AWOYIV	Re	5
AXEWEF	Re	5
AXIXAG	Re	1
AXIXEK	Re	1
AXIXIO	Re	1
AXIXOU	Re	1
AXOLEE	Re	1
AXOLII	Re	1
AYUNIT	Re	1
AYUNOZ	Re	1
AZEHAP	Re	5
AZENAV	Re	7
AZOCEX	Re	1
AZOXOC	Re	5
AZOXUI	Re	7
BABSAA	Re	5
BABSEE	Re	5
BABSII	Re	5
BABSOO	Re	5
BABSUU	Re	5
BACCOB	Re	1
BACCUG	Re	1
BACDAN	Re	1
BACDER	Re	1
BAGPEF	Re	1
BAMGOM	Re	5
BAMGUS	Re	5
BAMXOD	Re	2
BAMXUJ	Re	2
BAMYAQ	Re	2
BAPNEN	Re	7
BAPXIA	Re	3
BAQNOW	Re	5
BATCUW	Re	1
BATYAW	Re	1
BATYEA	Re	1
BAWSAU	Re	5
BAWSEY	Re	4
BEDFEW	Re	1
BEDSIN	Re	5
BEFWAK	Re	2
BEGDIC	Re	1
BEGQIO	Re	5
BEGQOU	Re	5
BEKFIJ	Re	1
BENWAS	Re	5
BEZDIT10	Re	5
BEZDUF10	Re	5
BEZFAN10	Re	5
BIFLUY	Re	3
BIJKEM	Re	5
BILJIQ	Re	1
BIMLUF	Re	1
BIRGOY	Re	1
BITXEH	Re	5
BIXQII	Re	5
BOCLOU	Re	5
BOFHOU	Re	1
BOFHUA	Re	1
BOFJAI	Re	1
BOFJEM	Re	1
BOFKOW	Re	2
BOFLUD	Re	2
BOFYIF	Re	1
BOFYOL	Re	1
BOJZIJ	Re	5
BOKPUM	Re	5
BOKQEX	Re	5
BOKQIB	Re	5
BONGUG	Re	5
BOQFUJ	Re	1
BOSXOX	Re	1
BOSYAK	Re	1
BOSYEO	Re	1
BOTBIW	Re	7
BOTBOC	Re	7
BOTBUI	Re	7
BOTCAP	Re	7
BOWLAA	Re	5
BOWVUE	Re	1
BOXPIQ	Re	1
BUCQEW	Re	7
BUKMID	Re	1
BUXJEK	Re	5
BUXJOU	Re	5
BUZTAR	Re	1
CABKEW	Re	1
CABKIA	Re	1
CABKOG	Re	1
CAHPOR	Re	5
CAPXEW	Re	5
CASXUQ	Re	1
CASYAX	Re	1
CASYEB	Re	1
CAXSIE	Re	5
CAXSOK	Re	5
CAXSUQ	Re	5
CAXTAX	Re	5
CAYXAC	Re	3
CAYXEG	Re	3
CAYXIK	Re	3
CECROR	Re	7
CEDTOV	Re	5
CEDTUB	Re	5
CEGZOE	Re	5
CEGZUK	Re	5
CEJSOB	Re	1
CEQXOL	Re	5
CERCOR	Re	5
CERTOL	Re	5
CERTUR	Re	5
CERVED	Re	5
CERWAA	Re	5
CETCRE	Re	3
CEXBAJ	Re	4
CIHYIC	Re	1
CIMHUE	Re	1
CIMJAM	Re	1
CIMJIU	Re	1
CIRPAU	Re	3
CIRWEF	Re	4
CISQEA	Re	4
CISQIE	Re	4
CITFOB	Re	5
CITFUH	Re	5
CIXGIA	Re	1
CIZNUU	Re	1
COBCAZ	Re	6
COCPRE	Re	1
COKGEP	Re	5
COMBAI	Re	1
COMNOI	Re	1
CORPEE	Re	5
COSGIB	Re	4
CPBRRE	Re	5
CPOENR	Re	6
CSOXRE	Re	5
CUDBOS	Re	5
DADMIF	Re	5
DADMOL	Re	5
DAGHUP	Re	1
DAJWOD	Re	5
DAJXAQ	Re	5
DAMHUW	Re	5
DAMJAE	Re	5
DAMJEI	Re	5
DANBEZ	Re	1
DANCOK	Re	1
DANTIV	Re	4
DANTOB	Re	4
DANTUH	Re	4
DAWFIR	Re	1
DAYJAQ	Re	3
DAYJEU	Re	3
DAYLIA	Re	2
DAYSUR	Re	1
DEBJID	Re	4
DEBJOJ	Re	4
DECHOJ	Re	5
DECVOZ	Re	4
DECVUF	Re	4
DEFHAY	Re	1
DEGTUF	Re	5
DEGVAN	Re	5
DEHLOR	Re	7
DEPPUK	Re	1
DEPQAR	Re	1
DEQQUM	Re	3
DEQROH	Re	5
DEQRUN	Re	5
DEQVIE	Re	4
DEXSIK	Re	1
DEXSOQ	Re	1
DEXSUW	Re	1
DEXTUX	Re	3
DEYKUO	Re	3
DEYLAV	Re	3
DIBFAY	Re	1
DIDCUO	Re	5
DIHBOM	Re	5
DIHBUS	Re	3
DIHPIV	Re	1
DINXAB	Re	1
DISBOX	Re	5
DISBUD	Re	5
DISDEP	Re	1
DIYXIS	Re	5
DIYYOZ	Re	3
DIYYUF	Re	5
DMENRE	Re	1
DODJAI	Re	5
DODPUJ	Re	4
DOHPIZ	Re	5
DOJBAI	Re	1
DOJSAZ	Re	1
DOJSED	Re	1
DOJSIH	Re	1
DOSWIR	Re	3
DOSWOX	Re	3
DOTWOA	Re	5
DOTWUG	Re	5
DOTXER	Re	5
DOTXIV	Re	5
DOTXOB	Re	5
DOTXUH	Re	5
DOWHUU	Re	4
DOWJAC	Re	4
DOWQOV	Re	7
DOWQUB	Re	7
DOWZOF	Re	1
DUBGOW	Re	1
DUCMOD	Re	5
DUDZAE	Re	1
DUDZEI	Re	1
DUDZIM	Re	1
DUDZOS	Re	1
DUKREH	Re	1
DUPVAM	Re	5
EBIHUS	Re	5
EBIJEE	Re	7
EBUSOK	Re	7
ECAKUO	Re	1
ECALAV	Re	1
ECANOM	Re	5
ECANUS	Re	5
ECAPAA	Re	5
ECAPEE	Re	5
ECECIY	Re	5
ECETAI	Re	1
ECETIQ	Re	1
ECIYIY	Re	7
EDIJAD	Re	1
EDOWUQ	Re	5
EDOXAX	Re	5
EFAMED	Re	1
EFISUI	Re	1
EGAVEP	Re	5
EGETIU	Re	5
EGETOA	Re	5
EGETUG	Re	5
EGOMAR	Re	1
EGOMEV	Re	1
EHOCAG	Re	1
EJEFOR	Re	7
EJEXOH	Re	1
EKARAM	Re	1
EKEKUC	Re	4
EKIDUA	Re	3
EKIFAI	Re	3
EKIFEM	Re	3
EKIFOW	Re	3
EKORIF	Re	5
EKOROL	Re	5
ELOLOG	Re	1
ELOMEX	Re	4
ELUHAU	Re	5
ELUQIL	Re	5
ELURIM	Re	5
ELUROS	Re	5
ELURUY	Re	5
EMAVIY	Re	1
EMAVOE	Re	1
EMILOC	Re	5
EMIWEC	Re	5
ENAJEK	Re	1
ENUKAC	Re	1
ESAZUT	Re	5
ESIQUT	Re	1
ESUXUM	Re	5
ETECUB	Re	5
EVAFOW	Re	1
EVURIW	Re	1
EVUROC	Re	1
EVUVUM	Re	1
EVUWEX	Re	1
EXIXEO	Re	1
EYICUK	Re	1
EYIDAR	Re	1
EYILUT	Re	1
EZALOG	Re	1
EZASON	Re	1
EZASUT	Re	1
EZATAA	Re	1
EZEWEL	Re	1
EZEXOW	Re	7
EZEXUC	Re	7
FAGWOA	Re	7
FAKNEL	Re	4
FAMQOB	Re	5
FAMQUH	Re	5
FAPRUL	Re	1
FAQQIY	Re	1
FAQQUK	Re	1
FARBAC	Re	5
FARBEG	Re	5
FASXON	Re	7
FAVDAH	Re	1
FAWFIT	Re	1
FAWKUK	Re	5
FAWLAR	Re	5
FAWLIZ	Re	5
FAWQID	Re	1
FAXHAQ	Re	1
FAXPUQ	Re	1
FEBLII	Re	1
FEJBIF	Re	1
FELJIR	Re	7
FEMWIE	Re	1
FENHOV	Re	1
FENHUB	Re	4
FEPNOE	Re	1
FEQDOU	Re	7
FEQFAI	Re	7
FEQFEM	Re	6
FEQTIG	Re	5
FEVFIW	Re	3
FIBVAP	Re	5
FILLUJ	Re	1
FIQDAL	Re	1
FIQLEW	Re	5
FIQREE	Re	5
FIYJUT	Re	1
FIYRIP	Re	5
FIYROV	Re	5
FIYZOD	Re	5
FIYZUJ	Re	5
FIZBAS	Re	5
FMDNRE	Re	4
FOAMDS10	Re	5
FOBQOF	Re	1
FOBQUL	Re	2
FOBRAS	Re	3
FODGUA	Re	5
FOGHUG	Re	5
FOGKAP	Re	5
FOKYOV	Re	5
FOQCEU	Re	1
FOQXEO	Re	2
FOSSIQ	Re	5
FOSVAL	Re	1
FOWTOA	Re	1
FUGKAU	Re	1
FUMNIK	Re	7
FURTAN	Re	4
FURTIV	Re	6
